Class,Precision,Recall,F1-Score,GT,Pred,Correct
abiotic disorder,1.0,1.0,1.0,20,20,20
cercospora,1.0,0.9047619047619048,0.9500000000000001,21,19,19
healthy,0.9130434782608695,0.84,0.8749999999999999,25,23,21
rust,0.9565217391304348,0.8148148148148148,0.8800000000000001,27,23,22
sooty mold,0.9090909090909091,0.6666666666666666,0.7692307692307692,30,22,20
