Model,Precision,Recall,F1-Score,mAP,GT,Pred,Correct
Yolo8n,0.8421052631578947,0.9105691056910569,0.8749999999999999,0.8689046437433534,123,133,112
Yolo11n,0.8538461538461538,0.9024390243902439,0.8774703557312253,0.86993265993266,123,130,111
Yolo12n,0.849624060150376,0.9186991869918699,0.8828125,0.8747474747474747,123,133,113
Yolo8m,0.6832298136645962,0.8943089430894309,0.7746478873239436,0.7124014336917562,123,161,110
Yolo11m,0.7266666666666667,0.8861788617886179,0.7985347985347986,0.7498199878037339,123,150,109
Yolo12m,0.8582089552238806,0.9349593495934959,0.8949416342412452,0.8744782803403492,123,134,115
Ensemble,0.9532710280373832,0.8292682926829268,0.8869565217391304,0.9557312252964427,123,107,102
